Method,AUC,ACC,Precision,Recall,F1,MCC,Threshold,n_pos,n_neg
ZHMolPhase,0.8039945532097653,0.7043369265480071,0.4687187465273919,0.7907761529808774,0.5885718272517966,0.41232978781252405,0.5,5334,14611
PICNIC,0.7689693859788983,0.6965154173978441,0.45694095101209725,0.7152230971128609,0.5576262515530219,0.363289226485543,0.5,5334,14611
PICNIC_GO,0.7681128881535717,0.7332023158230201,0.5180899608865711,0.6061010486177312,0.558650382215974,0.3714736860260693,0.5,5245,13582
catGRANULE 2.0,0.7680898333399927,0.6587615943845575,0.424636493958632,0.7774653168353955,0.549271523178808,0.3478794703369682,0.5,5334,14611
PSPHunter,0.6895636745016755,0.6822261218350464,0.42281672816728166,0.5155605549306337,0.4646055076871093,0.2441972320844965,0.5,5334,14611
catGRANULE 1.0,0.6473077513213115,0.6457758836801203,0.3725143614670791,0.47412823397075365,0.4172234595397179,0.17053915710260592,0.5,5334,14611
DeePhase,0.5653841619499841,0.5566808723990975,0.31606543624161076,0.5650543682039745,0.4053799596503026,0.10515994510330029,0.5,5334,14611
PScore,0.5434736229348869,0.7081787474389502,0.3741573033707865,0.06599286563614744,0.11219676549865229,0.048071370355887384,4.0,5046,13013
PLAAC,0.5309473610494723,NA,NA,NA,NA,NA,NA,5328,14494
LLPS_regulators_pred,0.5035029799291652,0.5124091250940085,0.26887040741130647,0.4788151481064867,0.34436728915256526,0.003091514386489072,0.5,5334,14611
LLPhyScore,0.49738201313570324,NA,NA,NA,NA,NA,NA,5334,14611
